No;RAISONSOCIALE;REGION;COMMUNE;CONTACTS;SECTEUR
400;KONE ADAMA;ABIDJAN;KOUMASSI;225 07 08 98 58 74;FOURNITURE INSTALLATION DE MATERIELS HYDR
401;IVOIRE HOLDING;ABIDJAN;KOUMASSI;225 07 08 07 50 12;CONSTRUCTION DE BATIMENTS, ETUDE-REHABILIT M
402;CENTRE DE COMMUNICATION ET DE DEVELO;ABIDJAN;COCODY;225 07 07 07 80 02;ETUDES ET CONSEILS
403;SOCIETE D’ETUDE ET DE REALISATION ELECT;ABIDJAN;KOUMASSI;225 07 59 02 22 46;ETUDE ET REALISATION DES TRAVAUX D’ELECTRI
404;M.S TRADER SARL;ABIDJAN;TREICHVILLE;225 07 47 84 83 59;IMPORT-EXPORT, IMPORTATION DE POISSON ET A
405;ETABLISSEMENT KOUMALASSO;ABIDJAN;TREICHVILLE;225 07 08 72 21 66;ACHAT ET VENTE DE TRACTEURS, IMPORT-EXPOR
406;LABORATOIRE TIEME;ABIDJAN;TREICHVILLE;225 07 57 72 31 69;VENTE DE PRODUITS DENTAIRE
407;ZEILA CONCEPT-SARL;ABIDJAN;COCODY;225 07 57 58 54 84;BTP / MATERIAUX DE CONSTRUCTION
408;IVOIRY COCOA WASTE PRODUCTS;NAWA;SAN PEDRO;07 87 50 42 81;COMMERCIALISATION, TRANSPORT DE DECHETS D M
409;ETS INDUSTRIE–COMMERCE–BATIMENT–GEN;ABIDJAN;ABOBO;225 07 77 76 17 17;ETUDE, REALISATION TRAVAUX BATIMENT
410;MULTI CONCEPT;ABIDJAN;COCODY;225 07 47 57 17 90;BTP / MATERIAUX DE CONSTRUCTION
411;DOSSO VASSINDOU (ETABLISSEMENT ROCH);TONKPI;MAN;225 07 09 54 29 00;BTP / MATERIAUX DE CONSTRUCTION
412;TOALI SIMONE (ETS DIVINE GRACE);ABIDJAN;COCODY;225 01 01 66 16 80;ETUDE ET TRAVAUX DE MAINTENANCE DU RESEA
413;KOUYATE BOUBACAR;SUD COMOE;ABOISSO;225 05 05 68 48 02;VENTE D’ARTICLE DIVERS, BTP
414;ETABLISSEMENT HERASSOU;ABIDJAN;TREICHVILLE;225 07 07 37 37 21;CONSTRUCTION, BTP, COMMERCE GENERAL, PRE
415;ACTION + ABIDJAN;ABIDJAN;PLATEAU;225 07 08 89 06 15;PUBLICITE - IMPRIMERIE
416;LA SOURCE;LOH-DJIBOUA;DIVO;225 01 01 33 39 67;VENTE DE GAZ BUTANE
417;MARHABA HOTEL;GONTOUGO;BONDOUKOU;225 07 07 38 32 70;HEBERGEMENT ET RESTAURATION
418;BOULANGERIE PATISSERIE DE L’OCEAN;ABIDJAN;PORT-BOUET;225 07 07 38 32 70;BOULANGERIE - PATISSERIE
419;IMANE ET OVADIA;ABIDJAN;PORT-BOUET;225 07 07 99 35 95;ACHAT ET LOCATION, IMPORT-EXPORT, ELEVAGE
420;HUILERIES ET SAVONNERIES DU SUD;SUD-COMOE;BONOUA;225 05 05 50 01 01;TRANSFORMATION MATIERES PREMIERES
421;SOCIETE TOURE ET FRERES;HAUT-SASSANDRA;DALOA;225 05 04 35 00 00;COMMERCE GENERAL
422;ETABLISSEMENT ARMEL ET LINA SERVICES;ABIDJAN;YOPOUGON;225 07 08 06 38 65;SOUS DEPOT DE BOISSONS, COMMERCE GENERA
423;OCEAN GOLF SHIPPING;ABIDJAN;TREICHVILLE;225 07 09 03 15 73;MANUTENTION, AVITAILLEMENT, IMPORT-EXPORT
424;PRESTA-TECH;ABIDJAN;MARCORY;225 07 79 20 41 24;ASSURANCE, DIVERS AUTRES PRESTATIONS DE S
425;SOCIETE NOUVELLE DE DISTRIBUTION;GOH;GAGNOA;225 01 01 00 02 27;DISTRIBUTION DE BOISSONS
426;ETABLISSEMENT KAO;ABIDJAN;ABOBO;225 07 08 49 32 15;AGROALIMENTAIRE
427;GLOBAL BUSINESS ENTREPRISE;ABIDJAN;COCODY;225 07 58 52 16 14;FOURNITURE DE BUREAUX, ENTRETIEN
428;AMA COSMETIQUE INTERNATIONAL;ABIDJAN;COCODY;07 07 49 31 58;FABRICATION DE PRODUITS COSMETIQUES
429;ENTREPRISE ARTYVET;ABIDJAN;COCODY;07 78 03 99 83;AGROALIMENTAIRE
430;ENTREPRISE SIRIKOLO OUATTARA;BOUKANI;BOUNA;01 41 18 26 25;BTP / MATERIAUX DE CONSTRUCTION
431;KONE MOHAMED;ABIDJAN;ABOBO;07 07 13 88 11;VENTE DE MARCHANDISES ET DIVERS
432;LES KORYS;ABIDJAN;PLATEAU;07 07 59 87 64;INTERMEDIAIRE FINANCIERE, LES TRAVAUX PUBLI
433;SOCIETE IVOIRIENNE D'INGENIERIE CONSEIL;ABIDJAN;COCODY;07 07 72 70 91;BTP / MATERIAUX DE CONSTRUCTION
434;ETABLISSEMENT KONE MAMADOU;ABIDJAN;YOPOUGON;07 57 65 93 22;BTP / FORMATION, TRAVAUX BATIMENT, GENIE CIV
435;IDOINES SERVICES;ABIDJAN;YOPOUGON;07 07 46 85 53;COMMERCE GENERAL, ACHAT ET VENTE DE MARC
436;PARAH GROUPE;ABIDJAN;COCODY;07 07 74 74 39;NETTOYAGE INDUSTRIEL, DERATISATION,DESINSE
437;CIRMAD-CI SARL;ABIDJAN;ABOBO;07 08 15 70 40;CONSTRUCTIONS, ET REABILITATIONS DE BATIME
438;HUILERIE MODERNE DE OUANGOLODOUGOU;TCHOLOGO;OUANGOLODOUGOU;07 08 23 55 53;HUILERIE
439;UNIVERSEL BTP-SARL;TCHOLOGO;OUANGOLODOUGOU;07 08 23 55 53;BTP / MATERIAUX DE CONSTRUCTION
440;ENTREPRISE DIABAGATE SIAKA;BOUKANI;BOUNA;07 08 77 38 46;CONSTRUCTION DE BATIMENT ET DIVERS
441;EBURNIE DENRES;ABIDJAN;YOPOUGON;07 48 22 96 89;VENTE ET PRODUCTION DE VIVRIERS
442;ZOOMAS CONSULTING;ABIDJAN;COCODY;07 47 31 78 01;LE COURTAGE EN PUBLICITE, LE CONSEIL EN COM
443;OUATTARA MARIAME;ABIDJAN;KOUMASSI;07 49 63 30 10;MECANIQUE AUTO TOLERIE-ELECTRICITE AUTO-T
444;MUAHE SERVICE;ABIDJAN;MARCORY;07 07 90 21 61;IMPORT- EXPORT, LA PROMOTION IMMOBILIERE, D
445;APUK;ABIDJAN;KOUMASSI;07 87 59 42 46;COMMUNICATION EVENEMENTIELLE, FOURNITURE
446;SOCIETE IVOIRIENNE D'INTELLIGENCE NUME;ABIDJAN;MARCORY;05 45 26 32 63;INTEGRATEUR DE SERVICES INFORMATIQUES
447;STYLE PLURIEL;ABIDJAN;COCODY;01 01 11 37 11;MARKETING, CONSTRUCTION
448;DISTRI-MED;ABIDJAN;YOPOUGON;07 09 87 33 11;DISTRIBUTION DE MATERIEL MEDICAL
449;COMPTOIR COMMERCIAL IVOIRO-AMERICAIN;ABIDJAN;COCODY;+225 07 49 09 07 28;ACHAT ET VENTE DE PRODUITS AGRICOLES
450;KADI PRESTIGE;ABIDJAN;MARCORY;+225 07 08 15 46 07;PRESTATIONS DE SERVICES, AGENCE DE VOYAGE
451;EIFFEL COTE D’IVOIRE;ABIDJAN;TREICHVILLE;+225 01 03 80 89 89;BTP – GENIE CIVIL
452;SEV DIETETIQUE;ABIDJAN;TREICHVILLE;+225 07 08 58 17 82;DISTRIBUTION ET VENTE DE PRODUITS ET ACCES
453;SADIA TRANSIT SARL;ABIDJAN;TREICHVILLE;+225 07 09 24 05 24;COMMISSIONNAIRE EN DOUANE
454;SOCIETE AFRICAINE DE TRAVAUX PUBLICS E;ABIDJAN;MARCORY;+225 05 06 22 15 15;BTP / MATERIAUX DE CONSTRUCTION
455;D.B ESPOIR;KORHOGO;PORO;+225 07 49 00 00 04;VENTE DE PRODUITS PHYTOSANITAIRES, ACHAT E
456;INTEGRAL PROCESS;ABIDJAN;YOPOUGON;+225 05 05 06 11 44;INFORMATIQUES
457;SAMAN SERVICES ESPOIR;ABIDJAN;COCODY;+225 07 47 77 48 80;VENTE DE KITS D’IRRIGATION, AMENAGEMENT DE
458;THE BLUE LEGEND;ABIDJAN;YOPOUGON;+225 07 59 23 24 60;PRODUCTION MUSICALE (STUDIO DE MUSIQUE, BR
459;COOPERATIVE EXCELLENCE DE COTE D’IVOI;ABIDJAN;COCODY;+225 07 09 32 16 35;COMMERCE / NEGOCE / DISTRIBUTION
460;KOUDJI-SERVICES;ABIDJAN;TREICHVILLE;+225 07 07 91 70 60;PRESTATION DE SERVICES EN ELEVAGE, ETUDE,
461;SOCIETE DIABY KALADJI;ABIDJAN;ADJAME;+225 07 07 33 85 15;ETUDES ET REALISATIONS D’OUVRAGES – BTP – R
462;ENTREPRISE DE TRANSPORT CISSE ET PART;ABIDJAN;ABOBO;+225 07 79 79 48 30;LE TRANSPORT EN TOUT GENRE, LE TRANSPORT
463;INTER GROUP BUSINESS;ABIDJAN;COCODY;+225 07 07 84 11 85;VENTE DE PRODUITS ALIMENTAIRES AGRICOLES
464;LOGISTICS SUPPLY CHAIN CONSULTING;ABIDJAN;COCODY;+225 01 02 50 87 94;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BURE M
465;WOOD PACKAGING INDUSTRY;ABIDJAN;GRAND-BASSAM;+225 07 57 22 04 22;MENUISERIE INDUSTRIELLE
466;CHEZ BIL;ABIDJAN;COCODY;+225 07 47 90 66 91;NETTOYAGE, REPARATION ET PERSONNALISATIO
467;DIDI ECO PHYTO;ABIDJAN;COCODY;+225 07 47 69 67 10;IMPORTATION ET LA DISTRIBUTION DE PRODUITS
468;KAYEL LOGISTIQUE COTE D’IVOIRE;ABIDJAN;TREICHVILLE;+225 07 48 87 55 66;TRANSPORTS / LOGISTIQUE
469;EXPERTS ASSOCIES POUR LE DEVELOPPEMENT;ABIDJAN;COCODY;+225 07 08 74 69 12;AGRICULTURE ET DEVELOPPEMENT
470;OUEST AFRICA CONSTRUCTION;ABIDJAN;TREICHVILLE;+225 07 08 08 52 51;BTP / MATERIAUX DE CONSTRUCTION
471;ALLTECH;ABIDJAN;COCODY;+225 07 09 02 40 01;INFORMATIQUES
472;NORIA PRESTATIONS;ABIDJAN;COCODY;+225 07 48 25 60 94;PRESTATIONS DE SERVICE DIVERS
